target_brand,priority_source,family_key,family_type,software_id,ecu_primary,ecu_candidates,brand_candidates,bootloader_ids,hardware_ids,firmware_features,firmware_roles,firmware_file_count,doc_count,next_action
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:DCM 7.1AP,ecu,,DCM 7.1AP,DCM 7.1AP|EDC17C53|ME17.8.8|ME17U6|MG1US008|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TANK|TOYOTA,,,,,0,2,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:DCM7.1AP,ecu,,DCM7.1AP,DCM7.1AP|EDC17C81|MG1US008,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,,,0,1,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:EDC17C53,ecu,,EDC17C53,DCM 7.1AP|EDC17C53|ME17.8.8|MG1US008,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TANK|TOYOTA,,,,,0,1,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:EDC17C81,ecu,,EDC17C81,DCM7.1AP|EDC17C81|MG1US008,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,,,0,2,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:ME17.8.8,ecu,,ME17.8.8,DCM 7.1AP|EDC17C53|ME17.8.8|ME17U6|MED17.8.10|MG1UA008|MG1US008|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TANK|TOYOTA,,,,,0,4,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:ME17U6,ecu,,ME17U6,DCM 7.1AP|ME17.8.8|ME17U6|MED17.8.10|MG1US008|MT20U|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|EXEED|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,,,0,2,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:MED17.8.10,ecu,,MED17.8.10,ME17.8.8|ME17U6|MED17.8.10|MG1UA008|MG1US008|MT20U|MT92,BAIC|CHANGAN|CHERY|DONGFENG|EXEED|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,,,0,3,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:MG1UA008,ecu,,MG1UA008,ME17.8.8|MED17.8.10|MG1UA008|MG1US008|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,,,0,3,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:MG1US008,ecu,,MG1US008,DCM 7.1AP|DCM7.1AP|EDC17C53|EDC17C81|ME17.8.8|ME17U6|MED17.8.10|MG1UA008|MG1US008|MT20U|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|EXEED|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TANK|TOYOTA,,,,,0,8,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:MT20U,ecu,,MT20U,ME17U6|MED17.8.10|MG1US008|MT20U,BAIC|CHANGAN|CHERY|DONGFENG|EXEED|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,,,0,1,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:MT22.1,ecu,,MT22.1,DCM 7.1AP|ME17.8.8|ME17U6|MG1US008|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,,,0,1,collect-stock-and-mod-binaries-if-missing
HAVAL,multi_brand_catalog_ecu_heuristic,ECU:MT92,ecu,,MT92,DCM 7.1AP|ME17.8.8|ME17U6|MED17.8.10|MG1UA008|MG1US008|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,,,0,3,collect-stock-and-mod-binaries-if-missing
