software_id,generation,confidence,source,cpu
89663-0DJ01-,Gen2,high,cpu,D76F0199GD (1.28Mb)
89663-0DJ11-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
89663-0E080-B,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E363-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E364-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E373-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E374-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E401-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
89663-0E412-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E413-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E430-B,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E431-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E432-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E441-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E442-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E450-B,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E451-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E452-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E460-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E461-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E462-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E472-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E541-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E542-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E641-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E810-A,Gen2,low,family-prefix-heuristic,
89663-0E830-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E840-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E850-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E860-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0E870-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0EA00-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0EA40-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0EA41-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-0EA63-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-F0121-,Gen2,high,cpu,D76F0219F1 (2Mb)
89663-F0213-,Gen2,low,family-prefix-heuristic,
89663-F0223-,Gen2,low,family-prefix-heuristic,
89663-F0230-,Gen2,low,family-prefix-heuristic,
89663-F0233-,Gen2,low,family-prefix-heuristic,
89663-F0260-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
89663-F0275-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
89663-F0277-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
89663-F0278-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
89663-F0282-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
89663-F0284-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
89663-F0292-,Gen2,low,family-prefix-heuristic,
89663-F0303-,Gen2,high,cpu,D76F0196F1 (1.5Mb)
