rel_path,file_name,extension,size_bytes,sha256,ecu_candidates,brand_candidates,software_candidates,features,inferred_role
89663-F0N05_1ce7.bin,89663-F0N05_1ce7.bin,.bin,1572864,744fdd33faf2e912dab06b567a751f1385e4d0f014430348a51aacf93d8e3045,,,89663-F0N05,,unknown
89663-F0N05_f93a.rar,89663-F0N05_f93a.rar,.rar,677008,e54b9397a237dfa8e4252fa8b7216a325a760bda63a86cf42dec159adb27dcf8,,,89663-F0N05,,unknown
JAC_S7__F01R0AD5J6_Bosch_MG1US008___F01R00DU8DUP8_JAC_S7___Bosch_MG1US008___ModRT47_Stage1__________new_e6bc.bin,JAC_S7__F01R0AD5J6_Bosch_MG1US008___F01R00DU8DUP8_JAC_S7___Bosch_MG1US008___ModRT47_Stage1__________new_e6bc.bin,.bin,2621440,d132d419283a4534ab5ae9f7c55f234dbd922af6da6b80d682d6fba66fe273e6,MG1US008,JAC,F01R00DU8DUP8|F01R0AD5J6,mod|rt47|stage1,modified
JAC_S7___Bosch_MG1US008___F01R00DU8DUP8_ModRT47_Stage1__new_18a7.bin,JAC_S7___Bosch_MG1US008___F01R00DU8DUP8_ModRT47_Stage1__new_18a7.bin,.bin,2621440,587a2c82afac2ae37984a49f1113969c42654de3f97abd9308474b03d77b93cc,MG1US008,JAC,F01R00DU8DUP8,mod|rt47|stage1,modified
JAC_S7___Bosch_MG1US008___F01R00DU8DUP8_ModRT47_Stage1__new_edc5.bin,JAC_S7___Bosch_MG1US008___F01R00DU8DUP8_ModRT47_Stage1__new_edc5.bin,.bin,2621440,587a2c82afac2ae37984a49f1113969c42654de3f97abd9308474b03d77b93cc,MG1US008,JAC,F01R00DU8DUP8,mod|rt47|stage1,modified
JAC_S7___F01R0AD5J6__F01R00DU8DUP8_JAC_S7___Bosch_MG1US008___________ModRT47_Stage1__new_53a3.bin,JAC_S7___F01R0AD5J6__F01R00DU8DUP8_JAC_S7___Bosch_MG1US008___________ModRT47_Stage1__new_53a3.bin,.bin,2621440,d132d419283a4534ab5ae9f7c55f234dbd922af6da6b80d682d6fba66fe273e6,MG1US008,JAC,F01R00DU8DUP8|F01R0AD5J6,mod|rt47|stage1,modified
JAC_S7___F01R0AD5J6__F01R00DU8DUP8_JAC_S7___Bosch_MG1US008___________ModRT47_Stage1__new_6ed0.bin,JAC_S7___F01R0AD5J6__F01R00DU8DUP8_JAC_S7___Bosch_MG1US008___________ModRT47_Stage1__new_6ed0.bin,.bin,2621440,d132d419283a4534ab5ae9f7c55f234dbd922af6da6b80d682d6fba66fe273e6,MG1US008,JAC,F01R00DU8DUP8|F01R0AD5J6,mod|rt47|stage1,modified
JAC_S7___F01R0AD5J6__F01R00DU8DUP8_JAC_S7___Bosch_MG1US008___________ModRT47_Stage1__new_9725.bin,JAC_S7___F01R0AD5J6__F01R00DU8DUP8_JAC_S7___Bosch_MG1US008___________ModRT47_Stage1__new_9725.bin,.bin,2621440,d132d419283a4534ab5ae9f7c55f234dbd922af6da6b80d682d6fba66fe273e6,MG1US008,JAC,F01R00DU8DUP8|F01R0AD5J6,mod|rt47|stage1,modified
Toyota_Hilux_89663-F0N05_MOD_E2_iv_052f.bin,Toyota_Hilux_89663-F0N05_MOD_E2_iv_052f.bin,.bin,1572864,5bd39dc08c144dc82befe06b321155b930e0870c521e98ffa1ce70ed25c2471d,,,89663-F0N05,euro2|mod,modified
Toyota_Hilux_89663-F0N05_MOD_E2_iv_7301.bin,Toyota_Hilux_89663-F0N05_MOD_E2_iv_7301.bin,.bin,1572864,5bd39dc08c144dc82befe06b321155b930e0870c521e98ffa1ce70ed25c2471d,,,89663-F0N05,euro2|mod,modified
